id,name,summary,difficulty,stars,star_votes,location,url,length,ascent,descent,high,low,longitude,latitude,cond_status,cond_details,cond_date,index
7003796,Section 16/Palmer Loop,A favorite loop in the Springs area.,blue,4.5,72,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,5.9,1287,-1288,7845,6633,-104.8903,38.8228,All Clear,,2019-09-19 15:04:39,0.0
7006769,Castlewood Canyon - Rimrock to Creek Bottom Loop,"A fun, rolling trail with a sense of seclusion, great geology, and historical sites.",blue,4.6,45,"Castle Rock, Colorado",https://www.hikingproject.com/data/,4.6,610,-612,6561,6163,-104.7682,39.3598,Minor Issues,"Snowy - Still a few slippery patches on rocky stair sections, but nothing too challenging.",2019-10-12 12:44:28,1.0
7022212,Garden of the Gods Loop,A longer loop in this spectacular area allows hikers to take in the highlights without the crowds.,greenBlue,4.1,45,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,4.0,414,-414,6588,6291,-104.8802,38.8815,All Clear,Dry,2019-08-10 15:45:14,2.0
7032321,Harrison Crash Site via Ice Cave,"A truly beautiful hike following Ice Cave Creek and Levi Creek, then following a ridge to the Harrison plane crash.",blueBlack,4.9,15,"Palmer Lake, Colorado",https://www.hikingproject.com/data/,11.1,2066,-2065,8540,7231,-104.9213,39.1187,Unknown,,1970-01-01 00:00:00,3.0
7018077,Mt. Muscoco,"Easily accessible from Colorado Spings, with views of the city and 360° mountain views from the top.",blue,4.4,28,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,2.0,1248,-17,7964,6733,-104.8871,38.7918,All Clear,Dry - Awesome Hike!,2019-09-02 21:52:17,4.0
7028473,Garden of the Gods Inner Loop,"An excellent, but short, loop through the heart of Garden of the Gods.",green,4.5,19,"Colorado Springs, Colorado",https://www.hikingproject.com/data/,1.3,134,-135,6504,6415,-104.8802,38.8809,Unknown,,1970-01-01 00:00:00,5.0
7006118,Mount Rosa via Pipeline Trail,"A hike with creeks, bridges, scree slopes, forested paths, summit to Mount Rosa, then finishing with St. Mary Falls.",blueBlack,4.4,16,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,14.7,4197,-4192,11408,7515,-104.9042,38.7909,All Clear,Dry,2019-07-22 19:33:20,6.0
7032197,Winding Stairs Loop,A solid ascent along the ridge northwest of the upper reservoir and descending the old Winding Staircase-beautiful views,blue,4.4,14,"Palmer Lake, Colorado",https://www.hikingproject.com/data/,5.9,1564,-1570,8760,7228,-104.9213,39.1187,Unknown,,1970-01-01 00:00:00,7.0
7008385,Highline Canal Trail,Widely recognized as one of the best urban trails in the country.,green,4.5,13,"Roxborough Park, Colorado",https://www.hikingproject.com/data/,61.3,369,-468,5549,5435,-105.0908,39.486999999999995,Unknown,,1970-01-01 00:00:00,8.0
7002198,Paint Mines Park,"This 750 acre park features geological formations including spires, chasms, and gullies.",greenBlue,4.2,17,"Ellicott, Colorado",https://www.hikingproject.com/data/,4.3,383,-382,6762,6569,-104.2741,39.0204,Unknown,,1970-01-01 00:00:00,9.0
7003185,Barr Camp Out-and-Back,A trail to the halfway point up Pikes Peak,blueBlack,4.5,11,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,13.5,3619,-3619,10124,6504,-104.9277,38.8571,All Clear,"Some trail wash out below the incline due to recent rains, but nothing major.",2019-07-28 10:13:55,10.0
7002738,The Red Rocks,A simple hike with stunning views.,greenBlue,3.9,22,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,3.7,522,-519,6651,6206,-104.8747,38.8481,All Clear,Dry,2019-08-24 15:59:51,11.0
7006973,Ute Valley Loop,A pleasant route through a gem of an open space in the Springs.,greenBlue,4.2,16,"Air Force Academy, Colorado",https://www.hikingproject.com/data/,3.8,338,-335,6592,6345,-104.8568,38.9249,Unknown,,1970-01-01 00:00:00,12.0
7004238,Limbaugh Canyon/Reservoir Loop,Beautiful hike from Palmer Lake featuring two gorgeous mountain reservoirs and a secluded valley.,blue,3.8,20,"Palmer Lake, Colorado",https://www.hikingproject.com/data/,5.6,973,-1005,8128,7206,-104.9212,39.1187,Unknown,,1970-01-01 00:00:00,13.0
7010866,Philip Miller Park,Philip Miller Park is the newest addition to Castle Rock's growing trail system.,blue,4.6,7,"Castle Rock, Colorado",https://www.hikingproject.com/data/,6.9,844,-844,6639,6362,-104.8794,39.3689,All Clear,Dry,2019-08-10 20:57:54,14.0
7045535,Grand Tour,See all the major features of Garden of the Gods on foot!,greenBlue,4.4,7,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,11.3,1192,-1186,6587,6248,-104.8752,38.8916,All Clear,"It's rattlesnake season, other than that, great trail.",2019-09-04 12:52:25,15.0
7075120,Hogback Ridge Summit via Quarry Pass,Multiple trails combined into one unique route with all the great views and aspects of this open space area.,blue,4.4,5,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,4.1,518,-521,6601,6178,-104.8814,38.8535,All Clear,,2019-08-18 10:22:40,16.0
7002476,Iron Mountain-Intemann Trail,"A nice hike over rolling hills, this trail links Red Rock Open Space to The Manitou Incline.",blue,4.3,4,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,3.4,711,-586,7021,6468,-104.9288,38.8568,All Clear,windy,2019-10-20 17:32:51,17.0
7034247,Mays Peak Ramble via Penrose Trail (#665),A gentle panoramic ramble over Penrose Trail (#665) aka Lower Captain Jack's Trail that rings Mays Peak.,greenBlue,4.0,9,"Colorado Springs, Colorado",https://www.hikingproject.com/data/,5.7,794,-814,7870,7183,-104.8846,38.7988,All Clear,Dry - Very sandy at times.,2019-09-29 13:01:49,18.0
7003599,Section 16 to Jones Park (and back) Mountain Ramble,A great hike connecting many of Colorado Springs' amazing trails together.,blueBlack,4.2,5,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,17.6,4025,-4024,9121,6637,-104.8903,38.8228,All Clear,Dry,2019-07-22 18:43:23,19.0
7037742,High Chaparral Open Space Loop,A 54-acre open space on the eastern side of Colorado Springs. Features a figure-8 loop and views of the Front Range.,green,4.3,4,"Cimarron Hills, Colorado",https://www.hikingproject.com/data/,2.2,168,-168,6862,6762,-104.7284,38.9104,Unknown,,1970-01-01 00:00:00,20.0
7021516,Rock Park Loop,A short but scenic loop located right in the town of Castle Rock.,greenBlue,3.6,14,"Castle Rock, Colorado",https://www.hikingproject.com/data/,1.4,302,-313,6533,6221,-104.8575,39.3816,Unknown,,1970-01-01 00:00:00,21.0
7048729,Heller Center to Pulpit Rock,"Rocks, flowers, trees, and views on this diverse trail system through one of Colorado Springs' beautiful open spaces.",blue,4.0,3,"Colorado Springs, Colorado",https://www.hikingproject.com/data/,2.2,252,-251,6507,6259,-104.8142,38.9073,All Clear,,2019-08-17 07:32:36,22.0
7009519,Sand Creek Tour,Urban Canal/Greenbelt trail at it's finest!,green,4.0,3,"Aurora, Colorado",https://www.hikingproject.com/data/,9.1,269,-269,5386,5285,-104.8423,39.7554,All Clear,Dry - Ran a section today and it's in great shape.  Parts closed with detours west of Central Park Blvd,2019-10-22 09:52:58,23.0
7083777,Devils Playground to Pikes Peak Summit to Barr Trail,A hike from the backside of Pikes Peak over the top and down the front to Manitou.,black,4.0,1,"Cascade-Chipita Park, Colorado",https://www.hikingproject.com/data/,18.9,4138,-7397,14102,6741,-105.1237,38.8738,All Clear,"Dry, Mostly Dry, Some Mud - Advised to leave early to avoid storms, also recommend bug spray.",2019-08-04 21:08:06,24.0
7021201,Dr. Howard Reynolds Nature Trails,A collection of pleasant nature trails at the natural history museum.,blue,4.0,1,"Hays, Kansas",https://www.hikingproject.com/data/,1.8,44,-44,2038,2021,-99.3007,38.8899,Unknown,,1970-01-01 00:00:00,25.0
7003779,Hidden Mesa,A lollipop loop trail up and around Hidden Mesa.,greenBlue,3.6,7,"The Pinery, Colorado",https://www.hikingproject.com/data/,5.9,453,-459,6509,6063,-104.7728,39.4167,All Clear,Dry,2019-09-15 14:43:03,26.0
7015153,Barr Lake Rookery,An awesome route for appreciating nature & birdwatching. Good sunrise/set views of the Front Range.,green,3.0,1,"Lochbuie, Colorado",https://www.hikingproject.com/data/,6.7,35,-35,5105,5098,-104.7518,39.9387,Unknown,,1970-01-01 00:00:00,27.0
7001545,The Manitou Incline,A challenging fitness trail carved from the remains of a tourist tram.,black,4.6,82,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,1.1,2052,0,8703,6651,-104.9321,38.8569,All Clear,Dry,2019-09-27 13:10:32,28.0
7003342,Barr Trail,This is the main trail for climbing Pikes Peak.,blueBlack,4.4,30,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,12.5,7545,-2,14051,6509,-104.9277,38.8571,All Clear,"Some trail wash out below the incline due to recent rains, but nothing major.",2019-07-28 10:13:45,29.0
7003601,7 Bridges Trail (#622),A wooded trail that follows North Cheyenne Creek with 7 wooden bridges as crossovers.,blue,4.2,27,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,2.0,1455,-5,9074,7625,-104.9145,38.7867,All Clear,,2019-09-28 18:29:35,30.0
7006845,Columbine Trail,Columbine Trail traverses through the cañon from Starsmore Visitor and Nature Center to above Helen Hunt Falls.,blueBlack,4.4,19,"Colorado Springs, Colorado",https://www.hikingproject.com/data/,3.8,1284,-315,7359,6309,-104.8651,38.7909,All Clear,,2019-09-28 18:27:40,31.0
7004146,St. Mary Falls Trail (#624),"A rambling trail through timbers leading to bottom of falls, then ascends to higher view of falls and Colorado Springs.",blue,4.2,17,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,3.7,2194,-56,9903,7765,-104.90700000000001,38.7866,All Clear,Dry,2019-08-31 20:17:57,32.0
